Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"SOURCEBUS", 115, 1,    66387.4,   30.0,   0.99988, 2,    66388.6,  -90.0,    0.9999, 3,    66385.6,  150.0,   0.99985, 0, 0, 0, 0
"650", 4.16, 1,    2427.27,   -1.3,    1.0106, 2,    2436.27, -118.9,    1.0144, 3,    2341.73,  120.1,     0.975, 4,    59.8621,  -65.0,  0.024924
"650Z", 13.2, 1,    7619.76,    0.0,   0.99983, 2,    7620.18, -120.0,   0.99989, 3,    7619.89,  120.0,   0.99985, 0, 0, 0, 0
"BRKR", 4.16, 1,    2427.27,   -1.3,    1.0106, 2,    2436.27, -118.9,    1.0144, 3,    2341.73,  120.1,     0.975, 0, 0, 0, 0
"RG60", 4.16, 1,     2578.7,   -1.3,    1.0737, 2,    2557.89, -118.9,     1.065, 3,    2502.43,  120.1,    1.0419, 0, 0, 0, 0
"XF1", 4.16, 1,    2491.75,   -3.8,    1.0375, 2,     2500.8, -119.8,    1.0412, 3,    2397.35,  118.2,   0.99816, 0, 0, 0, 0
"634", 0.48, 1,    283.087,   -3.7,    1.0215, 2,    285.521, -119.6,    1.0303, 3,    273.451,  118.5,   0.98673, 0, 0, 0, 0
"671", 4.16, 1,    2430.76,   -6.7,    1.0121, 2,    2495.66, -120.2,    1.0391, 3,    2315.35,  116.5,   0.96402, 0, 0, 0, 0
"645", 4.16, 2,    2480.94, -120.0,     1.033, 3,    2395.72,  118.2,   0.99748, 0, 0, 0, 0, 0, 0, 0, 0
"646", 4.16, 2,    2476.71, -120.1,    1.0312, 3,    2390.76,  118.2,   0.99541, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    2430.76,   -6.7,    1.0121, 2,    2495.66, -120.2,    1.0391, 3,    2315.35,  116.5,   0.96402, 0, 0, 0, 0
"675", 4.16, 1,    2415.76,   -6.9,    1.0058, 2,    2501.13, -120.4,    1.0414, 3,    2310.61,  116.5,   0.96204, 0, 0, 0, 0
"611", 4.16, 3,    2305.62,  116.2,   0.95997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 1,    2412.23,   -6.6,    1.0044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    2475.15,   -4.8,    1.0306, 2,    2498.11, -120.0,    1.0401, 3,    2369.29,  117.5,   0.98647, 0, 0, 0, 0
"632", 4.16, 1,    2496.53,   -3.8,    1.0394, 2,    2503.05, -119.9,    1.0422, 3,    2400.43,  118.2,   0.99944, 0, 0, 0, 0
"MID", 4.16, 1,    2496.53,   -3.8,    1.0394, 2,    2503.05, -119.9,    1.0422, 3,    2400.43,  118.2,   0.99944, 0, 0, 0, 0
"680", 4.16, 1,    2430.76,   -6.7,    1.0121, 2,    2495.66, -120.2,    1.0391, 3,    2315.35,  116.5,   0.96402, 0, 0, 0, 0
"633", 4.16, 1,    2491.75,   -3.8,    1.0375, 2,     2500.8, -119.8,    1.0412, 3,    2397.35,  118.2,   0.99816, 0, 0, 0, 0
"684", 4.16, 1,    2425.93,   -6.7,    1.0101, 3,    2310.53,  116.3,   0.96201, 0, 0, 0, 0, 0, 0, 0, 0
"TAP", 4.16, 3,    2310.47,  116.3,   0.96198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"HOUSE", 0.208, 1,    121.935, -120.7,    1.0154, 2,    121.942,   59.3,    1.0154, 0, 0, 0, 0, 0, 0, 0, 0
